Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
11/12/1997,0,23.4,37.7,52
11/13/1997,0,23.2,34.1,44.9
11/14/1997,0.21,25.3,33.9,42.5
11/15/1997,1.32,26.1,31.2,36.3
11/16/1997,0,25.5,31.6,37.8
11/17/1997,0,20.8,30.4,39.9
11/18/1997,0,20.8,32.2,43.7
11/19/1997,0,17,31.7,46.5
11/20/1997,0,17.5,32.9,48.3
11/21/1997,0,21.6,34.6,47.6
11/22/1997,0.58,25.9,40.6,55.3
11/23/1997,0.2,29.2,36,42.7
11/24/1997,0.03,28.1,30.9,33.6
11/25/1997,0,18.2,29.6,41
11/26/1997,0,20.7,30,39.3
11/27/1997,0.03,35,45.1,55.2
11/28/1997,0,25.9,34,42.2
11/29/1997,0,26.6,33.7,40.7
11/30/1997,0,21.8,34.4,47.1
12/1/1997,0.72,27,36.2,45.4
12/2/1997,0.02,26.9,32.9,38.8
12/3/1997,0,28.2,35.2,42.2
12/4/1997,0.06,28.4,39.4,50.4
12/5/1997,0,37.4,43.4,49.4
12/6/1997,0.02,28.5,34.4,40.3
12/7/1997,0,25.5,33.5,41.6
12/8/1997,0,25.3,33.7,42.2
12/9/1997,0,18.8,32.9,47.1
12/10/1997,0,19,31.1,43.2
12/11/1997,0,24.1,32.4,40.7
12/12/1997,0,18.7,27.4,36.2
12/13/1997,0,24.4,32,39.6
12/14/1997,0,24.4,33,41.5
12/15/1997,0,10.8,26.3,41.8
12/16/1997,0,11.9,26,40
12/17/1997,0,16.7,33.7,50.8
12/18/1997,0,21.6,38.4,55.2
12/19/1997,0,23.1,35.4,47.8
12/20/1997,0,25.8,36.8,47.8
12/21/1997,0,21,32.7,44.5
12/22/1997,0,9.1,22.1,35.2
12/23/1997,0.18,10.8,23.5,36.2
12/24/1997,1.18,29.6,32.2,34.8
12/25/1997,0.07,22.5,30.8,39.1
12/26/1997,0.43,31.1,36,40.8
12/27/1997,0,25.7,36.8,47.9
12/28/1997,0.09,26.6,32.3,38
12/29/1997,0,8,22.9,37.8
12/30/1997,0.74,10.5,27.5,44.6
12/31/1997,0,19.3,31.1,42.9
1/1/1998,0,4,17.8,31.6
1/2/1998,0,5,19.3,33.7
1/3/1998,0,28.6,36.7,44.8
1/4/1998,0,42.9,51.6,60.2
1/5/1998,0.07,34.1,45.5,56.9
1/6/1998,0.05,34.3,41.8,49.4
1/7/1998,0.07,37,46.9,56.7
1/8/1998,0.88,32.4,36.6,40.8
1/9/1998,0.62,33.3,36.9,40.4
1/10/1998,0.39,28.3,34.2,40
1/11/1998,0,24.7,35.8,46.9
1/12/1998,0,20.1,33.9,47.7
1/13/1998,0,19.8,29.4,39.1
1/14/1998,0.03,21,33.8,46.7
1/15/1998,0,14.1,23.2,32.3
1/16/1998,1.07,15.7,25.3,34.9
1/17/1998,0.02,20.4,27,33.5
1/18/1998,0,19.5,26.6,33.8
1/19/1998,0.13,22.4,27.4,32.5
1/20/1998,0,25.1,32.1,39
1/21/1998,0,26.4,30.2,34
1/22/1998,0,17.4,27.3,37.2
1/23/1998,0,16,25.7,35.4
1/24/1998,2.42,20.4,31.4,42.3
1/25/1998,0.08,30.9,34.2,37.5
1/26/1998,0.13,25.1,31.7,38.3
1/27/1998,0,10.4,23.6,36.8
1/28/1998,0,11.3,24.5,37.8
1/29/1998,0,28,32.6,37.2
1/30/1998,0,25.6,36.3,47
1/31/1998,0.04,29.3,33.6,37.8
2/1/1998,0,20.6,29.7,38.7
2/2/1998,0,18.7,31.7,44.7
2/3/1998,0,21,35.6,50.2
2/4/1998,0,31,41.4,51.9
2/5/1998,0.14,30,34.9,39.8
2/6/1998,0,21.3,27.7,34
2/7/1998,0,17.7,30.3,42.9
2/8/1998,0,21.2,30.8,40.5
2/9/1998,0,17.7,27.3,37
2/10/1998,0,17.9,33,48.2
2/11/1998,0,25,37,49
2/12/1998,0.78,30.6,42,53.4
2/13/1998,0.08,34.3,43.5,52.8
2/14/1998,0,16,30.8,45.5
2/15/1998,0,7,21.5,36
2/16/1998,0,7.4,20.3,33.1
2/17/1998,0,11.8,25.9,39.9
2/18/1998,1.39,27.2,34.2,41.3
2/19/1998,0.27,35,38.1,41.2
2/20/1998,0.02,32.3,36.7,41
2/21/1998,0,35,42.9,50.8
2/22/1998,0,26.8,37.6,48.4
2/23/1998,0,24.9,40.3,55.7
2/24/1998,0.6,27.3,35.4,43.6
2/25/1998,1.46,35,38,41
2/26/1998,0.05,34.2,39.5,44.8
2/27/1998,0,34,42.8,51.6
2/28/1998,0,28.6,43.8,59.1
3/1/1998,0.42,31.1,44.9,58.8
3/2/1998,0.02,33.2,38.9,44.6
3/3/1998,0,33.4,44.4,55.4
3/4/1998,0,28.1,35.9,43.7
3/5/1998,0.01,29.7,41.1,52.5
3/6/1998,0,26.9,35.7,44.5
3/7/1998,0,28.2,37.4,46.5
3/8/1998,0,29.4,37.8,46.3
3/9/1998,1.2,30.8,38.3,45.8
3/10/1998,1.83,38.2,48.6,59
3/11/1998,0,21.7,37.8,53.9
3/12/1998,0,12.4,23.5,34.5
3/13/1998,0,6.9,18.7,30.4
3/14/1998,0,11.4,25.2,39
3/15/1998,0.06,27.9,33,38
3/16/1998,0,24.1,32.3,40.5
3/17/1998,0,17.3,29.4,41.6
3/18/1998,0,21,34.5,48
3/19/1998,0.51,30.1,35.3,40.5
3/20/1998,0.84,31.7,36.8,41.9
3/21/1998,0,29.2,33.9,38.7
3/22/1998,0.63,28.8,31.3,33.8
3/23/1998,0.1,25.7,29.4,33
3/24/1998,0,21.3,32.9,44.4
3/25/1998,0,21.3,35.3,49.3
3/26/1998,0,27.2,39.1,51
3/27/1998,0,38,49.9,61.7
3/28/1998,0,50.5,65.5,80.6
3/29/1998,0,52.7,69.5,86.3
3/30/1998,0,39.7,59.1,78.4
3/31/1998,0,45.9,63.9,82
4/1/1998,0,42.9,66.6,90.3
4/2/1998,0.87,39.1,42.5,45.9
4/3/1998,0.05,36.4,42.1,47.9
4/4/1998,0,37.3,47.3,57.4
4/5/1998,0,35.4,40.5,45.5
4/6/1998,0,31.6,39.1,46.5
4/7/1998,0,31.2,43,54.7
4/8/1998,0,32,49.3,66.6
4/9/1998,0.1,35.7,51.7,67.7
4/10/1998,0.71,28.1,42.4,56.7
4/11/1998,0,27.6,42.1,56.6
4/12/1998,0,27,44.6,62.1
4/13/1998,0,28.1,45.3,62.4
4/14/1998,0,29.3,47.9,66.5
4/15/1998,0,33.6,50.5,67.4
4/16/1998,0,42.6,54.1,65.7
4/17/1998,0,48,56.9,65.9
4/18/1998,0.53,40.5,51.5,62.5
4/19/1998,0,42.4,54.5,66.6
4/20/1998,0.84,44.9,53.6,62.4
4/21/1998,0.01,34.3,44.7,55.2
4/22/1998,0,34.7,51.7,68.6
4/23/1998,0,38,55.2,72.5
4/24/1998,0.94,42.1,48.8,55.6
4/25/1998,0,40.5,52.5,64.5
4/26/1998,0,31.6,45.8,60
4/27/1998,0.16,34.8,44.2,53.7
4/28/1998,0,32.1,44.3,56.6
4/29/1998,0,36.2,49.4,62.6
4/30/1998,0,49.1,62.2,75.2
5/1/1998,0,53,67.1,81.2
5/2/1998,0.49,51.7,62.8,73.9
5/3/1998,0.04,51.4,60.5,69.7
5/4/1998,0.41,48.1,58.3,68.5
5/5/1998,0.36,51.3,62.7,74
5/6/1998,0.4,54.7,64.2,73.7
5/7/1998,1.39,53.8,59.8,65.8
5/8/1998,0.32,54,58.5,63
5/9/1998,0.07,51,58.7,66.4
5/10/1998,1.28,48.3,52.5,56.6
5/11/1998,1.23,47.6,50.2,52.7
5/12/1998,0.28,45.9,47.7,49.5
5/13/1998,0,36.1,45.8,55.5
5/14/1998,0,35.9,47.2,58.5
