STATION,NAME,DATE,PRCP,TMAX,TMIN,Tmax_C,Tmin_C,delta
USC00198757,"WALPOLE 2, MA US",1/6/2003,,,20,-17.77777778,-6.666666667,-11.11111111
USC00198757,"WALPOLE 2, MA US",1/27/1986,2.26,25,33,-3.888888889,0.555555556,-4.444444445
USC00198757,"WALPOLE 2, MA US",12/1/1972,0.73,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/2/1972,0.01,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/3/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/4/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/5/1972,1.47,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/6/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/7/1972,1.36,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/8/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/9/1972,0.4,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/10/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/11/1972,0.08,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/12/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/13/1972,0.11,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/14/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/15/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/16/1972,0.69,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/17/1972,0.02,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/18/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/19/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/20/1972,0.04,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/21/1972,0.2,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/22/1972,0.56,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/23/1972,0.41,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/24/1972,0.19,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/25/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/26/1972,0.06,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/27/1972,0.11,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/28/1972,0.03,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/29/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/30/1972,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",12/31/1972,0.32,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/1/1973,0.7,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/2/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/3/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/4/1973,0.14,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/5/1973,0.07,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/6/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/7/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/8/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/9/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/10/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/11/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/12/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/13/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/14/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/15/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/16/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/17/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/18/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/19/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/20/1973,0.4,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/21/1973,0.1,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/22/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/23/1973,0.65,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/24/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/25/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/26/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/27/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/28/1973,0.01,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/29/1973,1.15,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/30/1973,0.23,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",1/31/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/1/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/2/1973,0.17,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/3/1973,1.08,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/4/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/5/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/6/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/7/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/8/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/9/1973,0.13,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/10/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/11/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/12/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/13/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/14/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/15/1973,0.56,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/16/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/17/1973,0.19,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/18/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/19/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/20/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/21/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/22/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/23/1973,0.01,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/24/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/25/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/26/1973,0.01,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/27/1973,0.06,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",2/28/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",3/1/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",3/2/1973,0,,,-17.77777778,-17.77777778,0
